Sample in Buffer,Sample in Window,TRIGGER,sig_AD2_IN[9:0],sig_AD1_IN[9:0],LED_IO_OBUF[2:0]
241,241,0,2,-144,2
242,242,0,65,-31,2
243,243,0,74,82,2
244,244,0,-61,70,2
245,245,0,-141,110,2
246,246,0,74,-102,2
247,247,0,182,15,2
248,248,0,-108,-68,2
249,249,0,-182,-114,2
250,250,0,140,95,2
251,251,0,151,-151,2
252,252,0,-162,70,2
253,253,0,-108,143,2
254,254,0,164,-41,2
255,255,0,71,60,2
256,256,0,-151,40,2
257,257,0,-60,-38,2
258,258,0,120,-73,2
259,259,0,58,-54,2
260,260,0,-95,-44,2
261,261,0,-85,-29,2
262,262,0,65,32,2
263,263,0,113,116,2
264,264,0,-48,13,2
265,265,0,-134,-41,2
266,266,0,38,39,2
267,267,0,128,-10,2
268,268,0,-34,-86,2
269,269,0,-106,95,2
270,270,0,34,23,2
271,271,0,57,-163,2
272,272,0,-29,135,2
273,273,0,4,35,2
274,274,0,20,-126,2
275,275,0,-68,28,2
276,276,0,-11,37,2
277,277,0,118,36,2
278,278,0,4,-164,2
279,279,0,-133,-104,2
280,280,0,-2,150,2
281,281,0,125,201,2
282,282,0,10,88,2
283,283,0,-98,-140,2
284,284,0,-40,-108,2
285,285,0,53,-41,2
286,286,0,88,104,2
287,287,0,-23,-52,2
288,288,0,-127,-158,2
289,289,0,6,211,2
290,290,0,160,-33,2
291,291,0,-18,-77,2
292,292,0,-159,62,2
293,293,0,31,82,2
294,294,0,131,68,2
295,295,0,-58,-157,2
296,296,0,-80,44,2
297,297,0,65,74,2
298,298,0,26,-97,2
299,299,0,-59,-96,2
300,300,0,14,40,2
301,301,0,34,76,2
302,302,0,-32,-70,2
303,303,0,-8,-27,2
304,304,0,23,47,2
305,305,0,-18,39,2
306,306,0,8,54,2
307,307,0,33,32,2
308,308,0,-56,-74,2
309,309,0,-34,-165,2
310,310,0,87,91,2
311,311,0,28,66,2
312,312,0,-93,-185,2
313,313,0,-11,200,2
314,314,0,70,23,2
315,315,0,2,-151,2
316,316,0,-12,98,2
317,317,0,0,-13,2
318,318,0,-72,53,2
319,319,0,29,-23,2
320,320,0,148,-12,2
321,321,0,-85,10,2
322,322,0,-210,-156,2
323,323,0,154,15,2
324,324,0,216,26,2
325,325,0,-213,42,2
326,326,0,-175,81,2
327,327,0,245,-9,2
328,328,0,87,61,2
329,329,0,-245,-103,2
330,330,0,10,11,2
331,331,0,201,-111,2
332,332,0,-121,-98,2
333,333,0,-131,265,2
334,334,0,200,-28,2
335,335,0,44,-62,2
336,336,0,-246,27,2
337,337,0,27,-85,2
338,338,0,248,-41,2
339,339,0,-86,-39,2
340,340,0,-230,245,2
341,341,0,112,95,2
342,342,0,202,-144,2
343,343,0,-109,-5,2
344,344,0,-188,-29,2
345,345,0,83,-62,2
346,346,0,180,-117,2
347,347,0,-49,-34,2
348,348,0,-194,123,2
349,349,0,16,87,2
350,350,0,209,53,2
351,351,0,6,-13,2
352,352,0,-216,45,2
353,353,0,-27,-24,2
354,354,0,222,-156,2
355,355,0,47,34,2
356,356,0,-217,11,2
357,357,0,-65,-83,2
358,358,0,203,44,2
359,359,0,69,31,2
360,360,0,-183,-55,2
361,361,0,-69,77,2
362,362,0,149,102,2
363,363,0,52,-46,2
364,364,0,-119,-64,2
365,365,0,-25,58,2
366,366,0,69,-51,2
367,367,0,-1,-15,2
368,368,0,-13,-42,2
369,369,0,27,-76,2
370,370,0,-43,71,2
371,371,0,-35,-13,2
372,372,0,96,168,2
373,373,0,26,49,2
374,374,0,-128,-201,2
375,375,0,-6,70,2
376,376,0,135,-40,2
377,377,0,-25,36,2
378,378,0,-122,70,2
379,379,0,54,-198,2
380,380,0,80,26,2
381,381,0,-75,53,2
382,382,0,-32,28,2
383,383,0,78,1,2
384,384,0,-18,-84,2
385,385,0,-56,58,2
386,386,0,48,21,2
387,387,0,16,-33,2
388,388,0,-44,-92,2
389,389,0,19,70,2
390,390,0,8,202,2
391,391,0,-40,30,2
392,392,0,50,-25,2
393,393,0,41,-145,2
394,394,0,-120,-190,2
395,395,0,-22,5,2
396,396,0,176,69,2
397,397,0,-22,34,2
398,398,0,-207,-7,2
399,399,0,76,23,2
400,400,0,196,27,2
401,401,0,-125,72,2
402,402,0,-153,28,2
403,403,0,151,-13,2
404,404,0,84,59,2
405,405,0,-142,-46,2
406,406,0,-9,-99,2
407,407,0,92,-104,2
408,408,0,-50,-53,2
409,409,0,-22,-18,2
410,410,0,78,100,2
411,411,0,-67,105,2
412,412,0,-62,-56,2
413,413,0,148,33,2
414,414,0,22,35,2
415,415,0,-194,157,2
416,416,0,27,71,2
417,417,0,200,-231,2
418,418,0,-68,-82,2
419,419,0,-178,15,2
420,420,0,82,-109,2
421,421,0,130,-75,2
422,422,0,-51,119,2
423,423,0,-93,22,2
424,424,0,-13,45,2
425,425,0,83,175,2
426,426,0,86,7,2
427,427,0,-101,-52,2
428,428,0,-142,-76,2
429,429,0,153,43,2
430,430,0,151,-57,2
431,431,0,-207,-203,2
432,432,0,-123,93,2
433,433,0,240,-8,2
434,434,0,55,-6,2
435,435,0,-247,154,2
436,436,0,18,-6,2
437,437,0,208,14,2
438,438,0,-103,-63,2
439,439,0,-145,20,2
440,440,0,146,76,2
441,441,0,68,-42,2
442,442,0,-150,-19,2
443,443,0,-12,-45,2
444,444,0,118,-53,2
445,445,0,-22,-37,2
446,446,0,-78,-51,2
447,447,0,31,-5,2
448,448,0,32,100,2
449,449,0,-11,145,2
450,450,0,-13,53,2
451,451,0,-8,-126,2
452,452,0,1,-9,2
453,453,0,16,125,2
454,454,0,-10,-36,2
455,455,0,-25,-196,2
456,456,0,12,-19,2
457,457,0,12,8,2
458,458,0,-7,-68,2
459,459,0,-8,111,2
460,460,0,-11,27,2
461,461,0,14,37,2
462,462,0,28,79,2
463,463,0,-33,-34,2
464,464,0,-43,-28,2
465,465,0,69,-64,2
466,466,0,38,39,2
467,467,0,-106,69,2
468,468,0,-27,-104,2
469,469,0,117,-9,2
470,470,0,0,6,2
471,471,0,-120,-118,2
472,472,0,18,-36,2
473,473,0,83,120,2
474,474,0,-19,88,2
475,475,0,-48,-29,2
476,476,0,0,5,2
477,477,0,12,53,2
478,478,0,32,-31,2
479,479,0,12,-38,2
480,480,0,-79,34,2
481,481,0,-12,-81,2
482,482,0,103,-34,2
483,483,0,-3,98,2
484,484,0,-125,10,2
485,485,0,27,-26,2
486,486,0,114,-41,2
487,487,0,-49,-149,2
488,488,0,-93,12,2
489,489,0,62,93,2
490,490,0,46,149,2
491,491,0,-62,26,2
492,492,0,-1,-128,2
493,493,0,34,149,2
494,494,0,-51,29,2
495,495,0,12,-147,2
496,496,0,93,-96,2
497,497,0,-80,-8,2
498,498,0,-124,5,2
499,499,0,147,-42,2
500,500,0,129,159,2
501,501,0,-202,35,2
502,502,0,-114,-72,2
503,503,0,229,-55,2
504,504,0,72,-13,2
505,505,0,-221,42,2
506,506,0,-31,30,2
507,507,0,168,144,2
508,508,0,-10,-8,2
509,509,0,-92,-167,2
510,510,0,31,-71,2
511,511,0,14,-18,2
512,512,0,-24,93,2
513,513,0,44,115,2
514,514,0,0,60,2
515,515,0,-68,-82,2
516,516,0,35,-224,2
517,517,0,38,-100,2
518,518,0,-74,45,2
519,519,0,22,141,2
520,520,0,68,212,2
521,521,0,-102,38,2
522,522,0,-65,-92,2
523,523,0,167,-60,2
524,524,0,38,-138,2
525,525,0,-207,50,2
526,526,0,-26,70,2
527,527,0,208,35,2
528,528,0,19,14,2
529,529,0,-194,-184,2
530,530,0,-41,-61,2
531,531,0,156,-96,2
532,532,0,71,177,2
533,533,0,-119,275,2
534,534,0,-113,-132,2
535,535,0,74,20,2
536,536,0,136,-25,2
537,537,0,-46,-134,2
538,538,0,-165,27,2
539,539,0,17,-2,2
540,540,0,170,87,2
541,541,0,-1,-19,2
542,542,0,-172,-85,2
543,543,0,-8,-62,2
544,544,0,154,35,2
545,545,0,7,94,2
546,546,0,-135,43,2
547,547,0,-3,-21,2
548,548,0,108,-98,2
549,549,0,-16,56,2
550,550,0,-77,103,2
551,551,0,28,-41,2
552,552,0,48,-110,2
553,553,0,-45,-44,2
554,554,0,-26,2,2
555,555,0,52,92,2
556,556,0,-3,87,2
557,557,0,-52,-37,2
558,558,0,14,-39,2
559,559,0,44,-141,2
560,560,0,-29,-34,2
561,561,0,-35,154,2
562,562,0,38,77,2
563,563,0,28,-4,2
564,564,0,-45,-74,2
565,565,0,-26,-16,2
566,566,0,50,28,2
567,567,0,28,-28,2
568,568,0,-68,47,2
569,569,0,-36,-10,2
570,570,0,90,-2,2
571,571,0,49,-46,2
572,572,0,-110,-120,2
573,573,0,-66,57,2
574,574,0,130,7,2
575,575,0,81,28,2
576,576,0,-148,95,2
577,577,0,-88,58,2
578,578,0,154,4,2
579,579,0,81,-75,2
580,580,0,-154,65,2
581,581,0,-69,-79,2
582,582,0,133,-116,2
583,583,0,41,-70,2
584,584,0,-108,3,2
585,585,0,-8,120,2
586,586,0,72,71,2
587,587,0,-25,61,2
588,588,0,-40,-64,2
589,589,0,50,-105,2
590,590,0,13,42,2
591,591,0,-63,32,2
592,592,0,-9,-34,2
593,593,0,62,17,2
594,594,0,15,16,2
595,595,0,-53,-14,2
596,596,0,-38,51,2
597,597,0,38,-45,2
598,598,0,63,-194,2
599,599,0,-31,146,2
600,600,0,-98,195,2
601,601,0,35,-97,2
602,602,0,109,-149,2
603,603,0,-45,-54,2
604,604,0,-102,141,2
605,605,0,55,22,2
606,606,0,72,-123,2
607,607,0,-64,141,2
608,608,0,-29,126,2
609,609,0,60,-238,2
610,610,0,-12,4,2
611,611,0,-52,62,2
612,612,0,32,-127,2
613,613,0,26,69,2
614,614,0,-38,7,2
615,615,0,-5,9,2
616,616,0,6,76,2
617,617,0,-11,31,2
618,618,0,43,19,2
619,619,0,9,-99,2
620,620,0,-97,-64,2
621,621,0,-3,-40,2
622,622,0,136,-19,2
623,623,0,-19,33,2
624,624,0,-146,21,2
625,625,0,26,44,2
626,626,0,132,-40,2
627,627,0,-34,84,2
628,628,0,-101,89,2
629,629,0,27,-60,2
630,630,0,56,-5,2
631,631,0,-19,-100,2
632,632,0,-20,-134,2
633,633,0,18,12,2
634,634,0,-13,184,2
635,635,0,-28,25,2
636,636,0,32,-90,2
637,637,0,57,2,2
638,638,0,-45,6,2
639,639,0,-104,28,2
640,640,0,58,-26,2
641,641,0,157,46,2
642,642,0,-78,-80,2
643,643,0,-190,-98,2
644,644,0,107,140,2
645,645,0,190,15,2
646,646,0,-132,48,2
647,647,0,-153,-82,2
648,648,0,134,-19,2
649,649,0,80,156,2
650,650,0,-112,6,2
651,651,0,-7,-71,2
652,652,0,60,-194,2
653,653,0,-60,-58,2
654,654,0,4,-18,2
655,655,0,98,140,2
656,656,0,-79,177,2
657,657,0,-97,-155,2
658,658,0,121,7,2
659,659,0,56,108,2
660,660,0,-132,27,2
661,661,0,-5,-16,2
662,662,0,98,3,2
663,663,0,-39,-30,2
664,664,0,-39,-171,2
665,665,0,52,-95,2
666,666,0,-34,27,2
667,667,0,-36,147,2
668,668,0,84,50,2
669,669,0,-7,24,2
670,670,0,-110,-68,2
671,671,0,54,-83,2
672,672,0,90,185,2
673,673,0,-78,14,2
674,674,0,-51,-107,2
675,675,0,73,103,2
676,676,0,9,-2,2
677,677,0,-35,-64,2
678,678,0,13,-172,2
679,679,0,-20,-135,2
680,680,0,-12,160,2
681,681,0,73,105,2
682,682,0,-12,14,2
683,683,0,-99,117,2
684,684,0,37,7,2
685,685,0,101,-38,2
686,686,0,-60,-46,2
687,687,0,-89,-53,2
688,688,0,55,-15,2
689,689,0,73,-73,2
690,690,0,-39,-22,2
691,691,0,-71,-26,2
692,692,0,3,136,2
693,693,0,71,85,2
694,694,0,17,-69,2
695,695,0,-82,69,2
696,696,0,-26,-47,2
697,697,0,80,35,2
698,698,0,13,80,2
699,699,0,-53,-86,2
700,700,0,6,-61,2
701,701,0,2,-146,2
702,702,0,-22,-76,2
703,703,0,55,55,2
704,704,0,17,110,2
705,705,0,-117,171,2
706,706,0,2,1,2
707,707,0,135,-58,2
708,708,0,-33,103,2
709,709,0,-139,-92,2
710,710,0,68,-139,2
711,711,0,97,91,2
712,712,0,-100,-156,2
713,713,0,-46,-147,2
714,714,0,116,190,2
715,715,0,-3,142,2
716,716,0,-124,-24,2
717,717,0,42,71,2
718,718,0,137,-25,2
719,719,0,-73,-56,2
720,720,0,-156,69,2
721,721,0,94,-145,2
722,722,0,167,-73,2
723,723,0,-113,107,2
724,724,0,-168,-79,2
725,725,0,115,39,2
726,726,0,149,-30,2
727,727,0,-112,-27,2
728,728,0,-117,163,2
