0	0	10	
1	1	-30	
2	2	11	
3	3	-15	
4	4	23	
5	5	-14	
6	6	6	
7	7	-16	
8	8	3	
9	9	12	
10	10	6	
11	11	4	
12	12	-5	
13	13	-3	
14	14	44	
15	15	11	
16	16	-40	
17	17	7	
18	18	-17	
19	19	17	
20	20	-13	
21	21	3	
22	22	-19	
23	23	-20	
24	24	-2	
25	25	21	
26	26	9	
27	27	-26	
28	28	-16	
29	29	-25	
30	30	44	
31	31	-20	
32	32	5	
33	33	-13	
34	34	-10	
35	35	-19	
36	36	26	
37	37	-4	
38	38	-29	
39	39	12	
40	40	10	
41	41	18	
42	42	-21	
43	43	-11	
44	44	-7	
45	45	7	
46	46	-25	
47	47	-4	
48	48	20	
49	49	-17	
50	50	-2	
51	51	3	
52	52	25	
53	53	-3	
54	54	-8	
55	55	-13	
56	56	19	
57	57	4	
58	58	-1	
59	59	-20	
60	60	6	
61	61	-7	
62	62	-2	
63	63	3	
64	64	1	
65	65	40	
66	66	-15	
67	67	32	
68	68	0	
69	69	20	
70	70	-9	
71	71	-12	
72	72	-16	
73	73	20	
74	74	15	
75	75	1	
76	76	-6	
77	77	-42	
78	78	-6	
79	79	-1	
80	80	10	
81	81	-17	
82	82	5	
83	83	28	
84	84	38	
85	85	7	
86	86	-20	
87	87	27	
88	88	-21	
89	89	6	
90	90	33	
91	91	35	
92	92	-37	
93	93	-1	
94	94	13	
95	95	2	
96	96	-32	
97	97	26	
98	98	-10	
99	99	-13	
100	100	35	
101	101	-20	
102	102	-27	
103	103	-25	
104	104	0	
105	105	-7	
106	106	13	
107	107	5	
108	108	46	
109	109	-32	
110	110	-57	
111	111	38	
112	112	16	
113	113	19	
114	114	-10	
115	115	8	
116	116	-23	
117	117	39	
118	118	-23	
119	119	-29	
120	120	31	
121	121	15	
122	122	-11	
123	123	3	
124	124	-2	
125	125	-16	
126	126	-13	
127	127	-31	
128	128	11	
129	129	-29	
130	130	43	
131	131	-28	
132	132	20	
133	133	-7	
134	134	1	
135	135	2	
136	136	7	
137	137	-11	
138	138	-20	
139	139	-9	
140	140	-22	
141	141	3	
142	142	-4	
143	143	34	
144	144	2	
145	145	-19	
146	146	-27	
147	147	15	
148	148	-25	
149	149	-4	
150	150	-23	
151	151	-1	
152	152	20	
153	153	-17	
154	154	-28	
155	155	-3	
156	156	16	
157	157	-7	
158	158	-36	
159	159	-4	
160	160	23	
161	161	-18	
162	162	-19	
163	163	-19	
164	164	-5	
165	165	-18	
166	166	-39	
167	167	9	
168	168	16	
169	169	-9	
170	170	-2	
171	171	-5	
172	172	7	
173	173	-17	
174	174	7	
175	175	-12	
176	176	5	
177	177	-18	
178	178	47	
179	179	-30	
180	180	2	
181	181	-10	
182	182	25	
183	183	-26	
184	184	-6	
185	185	-1	
186	186	-14	
187	187	5	
188	188	-2	
189	189	4	
190	190	-28	
191	191	15	
192	192	0	
193	193	31	
194	194	7	
195	195	-25	
196	196	12	
197	197	15	
198	198	25	
199	199	-9	
200	200	5	
201	201	-16	
202	202	17	
203	203	-7	
204	204	36	
205	205	-13	
206	206	15	
207	207	-2	
208	208	-4	
209	209	14	
210	210	-28	
211	211	-16	
212	212	-1	
213	213	5	
214	214	-42	
215	215	19	
216	216	-16	
217	217	-11	
218	218	12	
219	219	-5	
220	220	19	
221	221	-7	
222	222	21	
223	223	-11	
224	224	5	
225	225	-11	
226	226	-8	
227	227	-2	
228	228	36	
229	229	-14	
230	230	-17	
231	231	0	
232	232	-5	
233	233	-13	
234	234	-4	
235	235	1	
236	236	-13	
237	237	27	
238	238	-1	
239	239	19	
240	240	-19	
241	241	-6	
242	242	10	
243	243	3	
244	244	3	
245	245	-5	
246	246	12	
247	247	-31	
248	248	-3	
249	249	-23	
250	250	3	
251	251	-12	
252	252	40	
253	253	-13	
254	254	1	
255	255	1	
256	256	11	
257	257	-24	
258	258	-29	
259	259	-6	
260	260	5	
261	261	-5	
262	262	-24	
263	263	-3	
264	264	7	
265	265	-14	
266	266	8	
267	267	-1	
268	268	13	
269	269	-21	
270	270	27	
271	271	-17	
272	272	-9	
273	273	4	
274	274	24	
275	275	-42	
276	276	-8	
277	277	11	
278	278	-1	
279	279	21	
280	280	13	
281	281	-25	
282	282	-13	
283	283	22	
284	284	-4	
285	285	16	
286	286	1	
287	287	16	
288	288	-25	
289	289	-14	
290	290	-25	
291	291	8	
292	292	-16	
293	293	18	
294	294	13	
295	295	-15	
296	296	15	
297	297	22	
298	298	20	
299	299	-21	
300	300	13	
301	301	1	
302	302	-14	
303	303	-7	
304	304	5	
305	305	-3	
306	306	-29	
307	307	-2	
308	308	6	
309	309	9	
310	310	-5	
311	311	31	
312	312	-8	
313	313	16	
314	314	-29	
315	315	-4	
316	316	-14	
317	317	6	
318	318	-9	
319	319	8	
320	320	24	
321	321	-8	
322	322	17	
323	323	-5	
324	324	34	
325	325	-11	
326	326	-18	
327	327	1	
328	328	-2	
329	329	-16	
330	330	-4	
331	331	6	
332	332	-25	
333	333	17	
334	334	-8	
335	335	21	
336	336	15	
337	337	19	
338	338	-12	
339	339	-17	
340	340	15	
341	341	-12	
342	342	-19	
343	343	40	
344	344	7	
345	345	-34	
346	346	36	
347	347	-7	
348	348	3	
349	349	-25	
350	350	32	
351	351	-17	
352	352	36	
353	353	-5	
354	354	-7	
355	355	1	
356	356	-20	
357	357	16	
358	358	-27	
359	359	3	
360	360	-21	
361	361	28	
362	362	-25	
363	363	25	
364	364	-14	
365	365	-14	
366	366	4	
367	367	32	
368	368	16	
369	369	-19	
370	370	12	
